Produk,Rating,Ulasan,Clean_Ulasan,Sentiment,Word_Count,Char_Count,Length_Category
Xiaomi Electric Shaver S200,5,"Berfungsi dgn baik, namun sayang pengiriman agak lama. Dr hr sabtu sdh sampai dikota sya, namun senin br d antar k alamat.",berfungsi dgn baik namun sayang pengiriman agak lama dr hr sabtu sdh sampai dikota sya namun senin br d antar k alamat,Positif,22,122,Panjang (>15 kata)
Xiaomi Redmi Headphones Neo,5,"kualitas suara bagus, bass juga nendang. bisa konek ke smart tv juga.",kualitas suara bagus bass juga nendang bisa konek ke smart tv juga,Positif,12,69,Sedang (9–15 kata)
POCO M7 (8GB/256GB),5,sip bagus dan normal semua,sip bagus dan normal semua,Positif,5,26,Singkat (4–8 kata)
Xiaomi Redmi Pad 2 Series,5,"Barang berfungsi baik, gambar dan suaranya juga bagus. Paket diterima utuh tidak rusak.",barang berfungsi baik gambar dan suaranya juga bagus paket diterima utuh tidak rusak,Positif,13,87,Sedang (9–15 kata)
POCO X8 Pro Series,5,"paket sesuai pesanan..
masih segel.
mantap",paket sesuai pesanan masih segel mantap,Positif,6,42,Singkat (4–8 kata)
Xiaomi Redmi Note 15 (6/128 GB),5,sampai dengan pengiriman yang cepat dan aman. official store tidak pernah mengecewakan,sampai dengan pengiriman yang cepat dan aman official store tidak pernah mengecewakan,Positif,12,86,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,MANTAPPP,mantappp,Positif,1,8,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,dapat diskon dan dapat bonus,dapat diskon dan dapat bonus,Positif,5,28,Singkat (4–8 kata)
POCO M7 (8GB/256GB),5,"bagusss, real pick",bagusss real pick,Positif,3,18,Sangat Singkat (≤3 kata)
Xiaomi TV A Pro 32 2026,5,mntp,mntp,Positif,1,4,Sangat Singkat (≤3 kata)
Xiaomi TV Box S (3rd Gen),5,Semoga bermanfaat. terima kasih,semoga bermanfaat terima kasih,Positif,4,31,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"Cepet sampai
Barang ori
Bonus keren",cepet sampai barang ori bonus keren,Positif,6,35,Singkat (4–8 kata)
POCO F8 Series,5,"dari jaman poco f2 pro ga pernah nyesel pake nih hp, awet ya f8 pro ini 😇🙏🏻",dari jaman poco f2 pro ga pernah nyesel pake nih hp awet ya f8 pro ini,Positif,16,75,Panjang (>15 kata)
Xiaomi TV A 32,5,ok terbaik,ok terbaik,Positif,2,10,Sangat Singkat (≤3 kata)
Xiaomi Smart Camera C301 CCTV Indoor,5,Blm tau bagus or gk cz buat kado semoga bagus,blm tau bagus or gk cz buat kado semoga bagus,Positif,10,45,Sedang (9–15 kata)
POCO X8 Pro Series,5,barang cepat sampai tp blm dicoba,barang cepat sampai tp blm dicoba,Positif,6,33,Singkat (4–8 kata)
Xiaomi Smart Air Purifier 4 Compact,1,"wah ga nyangka customer service nya sejelek ini hebat 👏🏽👏🏽👏🏽👏🏽👏🏽 makasih banyak pelajaran nya. janji gak akan pernah beli produk xiaomi lagi.

***congratulation...",wah ga nyangka customer service nya sejelek ini hebat makasih banyak pelajaran nya janji gak akan pernah beli produk xiaomi lagi congratulation,Negatif,22,163,Panjang (>15 kata)
Xiaomi TV Box S (3rd Gen),5,"Manteb kk, fungsi normal",manteb kk fungsi normal,Positif,4,24,Singkat (4–8 kata)
Xiaomi Earphone Tipe-C,5,"Respon seller dan pengiriman cepat. 
Kualitas oke. Terima kasih",respon seller dan pengiriman cepat kualitas oke terima kasih,Positif,9,63,Sedang (9–15 kata)
Xiaomi Redmi Buds 8 Active,5,keren semoga awet,keren semoga awet,Positif,3,17,Sangat Singkat (≤3 kata)
POCO M7 (8GB/256GB),5,"Alhamdulillah hp baru, Terimakasih",alhamdulillah hp baru terimakasih,Positif,4,34,Singkat (4–8 kata)
Xiaomi Redmi Note 15 5G (8/256 GB) (12/512 GB),5,barang bagus,barang bagus,Positif,2,12,Sangat Singkat (≤3 kata)
Xiaomi Earphone Tipe-C,5,cocok,cocok,Positif,1,5,Sangat Singkat (≤3 kata)
Xiaomi TV A Pro 32 2026,5,Bagus dan memuaskan,bagus dan memuaskan,Positif,3,19,Sangat Singkat (≤3 kata)
POCO M7 Pro 5G (8/256G),5,"Pengiriman kurir cepat.
Barang original, segel, isi lengkap, official store Xiaomi tidak mengecewakan.",pengiriman kurir cepat barang original segel isi lengkap official store xiaomi tidak mengecewakan,Positif,13,102,Sedang (9–15 kata)
POCO M7 (8GB/256GB),5,"barang bagus kondisi masih segel, cuman bubble kurang banyak, tapi masih aman",barang bagus kondisi masih segel cuman bubble kurang banyak tapi masih aman,Positif,12,77,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),5,mantab promo ya,mantab promo ya,Positif,3,15,Sangat Singkat (≤3 kata)
Xiaomi 33W Charging Combo Tipe A,5,nice turbo charging.. makasih,nice turbo charging makasih,Positif,4,29,Singkat (4–8 kata)
POCO X8 Pro Series,5,kekekemwmxmckkmmxmekeksoxoxoxoxoxoodkekekrlflff,kekekemwmxmckkmmxmekeksoxoxoxoxoxoodkekekrlflff,Positif,1,47,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,jdkenrnmrmrmrmfmdmsmsmmsmwmememrmrkkfkckckckdkdkdksksksks,jdkenrnmrmrmrmfmdmsmsmmsmwmememrmrkkfkckckckdkdkdksksksks,Positif,1,57,Sangat Singkat (≤3 kata)
Xiaomi 90W HyperCharge Combo (Type-A),5,barang nya masih tersegel sampai tujuan dan berfungsi sangat baik. smoga awet casannya,barang nya masih tersegel sampai tujuan dan berfungsi sangat baik smoga awet casannya,Positif,13,86,Sedang (9–15 kata)
POCO X8 Pro Series,5,Cantik n harga sesuai,cantik n harga sesuai,Positif,4,21,Singkat (4–8 kata)
Xiaomi 17T (12GB+256GB),5,"barang sudah diterima, sejauh ini tidak ada problem",barang sudah diterima sejauh ini tidak ada problem,Positif,8,51,Singkat (4–8 kata)
POCO X8 Pro Series,5,"Sesuai pesanan, mantap",sesuai pesanan mantap,Positif,3,22,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,"Sesuai pesanan, mantap",sesuai pesanan mantap,Positif,3,22,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,terima kasih,terima kasih,Positif,2,12,Sangat Singkat (≤3 kata)
Xiaomi Smart Multifunctional Rice Cooker,5,"akhirnya bisa connect ke mi home, belum dicoba",akhirnya bisa connect ke mi home belum dicoba,Positif,8,46,Singkat (4–8 kata)
Xiaomi Monitor A27i,5,"mantap lah buat secondary monitor, gada deadpixel lagi👍🏻",mantap lah buat secondary monitor gada deadpixel lagi,Positif,8,56,Singkat (4–8 kata)
Xiaomi 165W Power Bank 10000mAh Integrated Cable,5,waduh mantap seusai deskripsi,waduh mantap seusai deskripsi,Positif,4,29,Singkat (4–8 kata)
Xiaomi TV Box S (3rd Gen),5,Berfungsi dengan baik,berfungsi dengan baik,Positif,3,21,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),5,"pengiriman super cepat hanya 1 hari, barangnya oke punya... puas banget + dapat bonus headphones neo",pengiriman super cepat hanya 1 hari barangnya oke punya puas banget dapat bonus headphones neo,Positif,15,100,Sedang (9–15 kata)
Xiaomi Redmi Buds 6 Play,5,"BONUS DILAMPIRKAN, TERIMA KASIH",bonus dilampirkan terima kasih,Positif,4,31,Singkat (4–8 kata)
Xiaomi Redmi Note 15 5G (6/128 GB),5,"PENGIRIMAN CEPAT, BARANG BERFUNGSI / SESUAI, PACKING AMAN, DAN SEGEL TERJAGA",pengiriman cepat barang berfungsi sesuai packing aman dan segel terjaga,Positif,10,76,Sedang (9–15 kata)
Xiaomi Smart Camera C301 CCTV Indoor,4,"Baru dicoba, semoga awet",baru dicoba semoga awet,Positif,4,24,Singkat (4–8 kata)
POCO M7 Pro 5G (8/256G),5,"barang sudah diterima dgn baik, pengiriman diproses cepat , tinggal ditest fungsi dan fitur2 Hp nya, semoga aman lancar dan awet pemakaian, thanks Xiaomi Indomesia &...",barang sudah diterima dgn baik pengiriman diproses cepat tinggal ditest fungsi dan fitur2 hp nya semoga aman lancar dan awet pemakaian thanks xiaomi indomesia,Positif,24,168,Panjang (>15 kata)
Xiaomi 33W Power Bank 20.000 mAh,5,produk sudah diterima dg baik dan berfungsi dg baik. Bisa fast charging ke HP redmi saya.,produk sudah diterima dg baik dan berfungsi dg baik bisa fast charging ke hp redmi saya,Positif,16,89,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),1,"kualitas kamera utama, lbh buruk dibanding 14T yg saya pake, akhirnya sy jual lg HP nya ini ..",kualitas kamera utama lbh buruk dibanding 14t yg saya pake akhirnya sy jual lg hp nya ini,Negatif,17,94,Panjang (>15 kata)
Xiaomi TV Box S (3rd Gen),5,paketnya sudah diterima dalam keadaan yang baik makasih ya ka Gbu 🙏,paketnya sudah diterima dalam keadaan yang baik makasih ya ka gbu,Positif,11,67,Sedang (9–15 kata)
POCO M7 Pro 5G (8/256G),5,bagus dan sesuai,bagus dan sesuai,Positif,3,16,Sangat Singkat (≤3 kata)
Xiaomi TV Box S (3rd Gen),5,"Tampilan Google TV, dan dapat dibuat beberapa akun juga. Remote dapat digunakan untuk on-off serta atur volume tv. Namun kabel HDMI tidak kompatible (tidak bisa koneksi)...",tampilan google tv dan dapat dibuat beberapa akun juga remote dapat digunakan untuk on off serta atur volume tv namun kabel hdmi tidak kompatible tidak bisa koneksi,Positif,27,172,Panjang (>15 kata)
Xiaomi Redmi Note 15 (6/128 GB),5,"Barang sesuai judul dan deksripsi, terima kasih...",barang sesuai judul dan deksripsi terima kasih,Positif,7,50,Singkat (4–8 kata)
Xiaomi 17T (12GB+512GB),5,puas banget sama produknya,puas banget sama produknya,Positif,4,26,Singkat (4–8 kata)
POCO X8 Pro Series,5,MBG : Mantap Banget Guyysss....makasi bosku barang mewah...,mbg mantap banget guyysss makasi bosku barang mewah,Positif,8,59,Singkat (4–8 kata)
POCO X8 Pro Series,5,thnkss,thnkss,Positif,1,6,Sangat Singkat (≤3 kata)
POCO X7 Pro 5G,5,barang mantap ekpedisi nya mantap. luar biasa minus kayaknya agak cepat panas tp mash dalam keaddab normal,barang mantap ekpedisi nya mantap luar biasa minus kayaknya agak cepat panas tp mash dalam keaddab normal,Positif,17,106,Panjang (>15 kata)
POCO C71 4+4G/128G,5,barang aman sampe rumah... packing aman,barang aman sampe rumah packing aman,Positif,6,39,Singkat (4–8 kata)
Redmi Pad 2 Pro (6GB/128GB) (8GB/256GB),5,"mantap dah, bagus pokoknya mah barang nya",mantap dah bagus pokoknya mah barang nya,Positif,7,41,Singkat (4–8 kata)
POCO X7 Pro 5G,5,"pesanan sesuai, performa ok",pesanan sesuai performa ok,Positif,4,27,Singkat (4–8 kata)
Xiaomi Monitor A27i,5,pengiriman cepat.. kualitas nya bagus.. layarnya jernih,pengiriman cepat kualitas nya bagus layarnya jernih,Positif,7,55,Singkat (4–8 kata)
POCO C71 4+4G/128G,5,"mantap, barang dpt sesuai ekspektasi",mantap barang dpt sesuai ekspektasi,Positif,5,36,Singkat (4–8 kata)
Xiaomi Earphone Tipe-C,5,kerennn,kerennn,Positif,1,7,Sangat Singkat (≤3 kata)
POCO C71 4+4G/128G,5,"bintang 5, terima kasih!",bintang 5 terima kasih,Positif,4,24,Singkat (4–8 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,baik,baik,Positif,1,4,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,mantap,mantap,Positif,1,6,Sangat Singkat (≤3 kata)
POCO X8 Pro Series,5,"sampai hari ini aman hpnya 
mantap poco",sampai hari ini aman hpnya mantap poco,Positif,7,39,Singkat (4–8 kata)
Xiaomi TV A Pro 43 2026,5,"Pesen pagi, sampai langsung besok sorenya pengiriman reguler jkt, termasuk sgt cepat. Barangnya oke, kualitas 4k UHD, keren bgt, antar platform disini paling murah. Keren",pesen pagi sampai langsung besok sorenya pengiriman reguler jkt termasuk sgt cepat barangnya oke kualitas 4k uhd keren bgt antar platform disini paling murah keren,Positif,25,170,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"setelah 6 tahun bertahan dengan hp lama, akhirnya bisa ganti hp baru dan sejauh ini cukup memuaskan dengan performa apalagi kameranya yang apik😍 semoga penyimpanannya cu...",setelah 6 tahun bertahan dengan hp lama akhirnya bisa ganti hp baru dan sejauh ini cukup memuaskan dengan performa apalagi kameranya yang apik semoga penyimpanannya cu,Positif,26,172,Panjang (>15 kata)
Xiaomi Redmi 15C (6+128) (8+256),5,"Barang sesuai pesanan dan berfungsi dengan baik , terima kasih",barang sesuai pesanan dan berfungsi dengan baik terima kasih,Positif,9,62,Sedang (9–15 kata)
Xiaomi Redmi Watch 5 Active,5,"Baru sempat ulas, barang masih segel, pengiriman rapi dan aman, respon cepat dan semoga barang awet terus.
makasi xiaomi dan tokped.",baru sempat ulas barang masih segel pengiriman rapi dan aman respon cepat dan semoga barang awet terus makasi xiaomi dan tokped,Positif,21,132,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,"Benar2 sesuai harapan. Thank you, Xiaomi 🤗",benar2 sesuai harapan thank you xiaomi,Positif,6,42,Singkat (4–8 kata)
Xiaomi Redmi Watch 5 Active,5,"barang asli original,  enak dipakai tapi perlu banyak setingan",barang asli original enak dipakai tapi perlu banyak setingan,Positif,9,62,Sedang (9–15 kata)
Xiaomi Smart Band 9 Active,5,barang sesuai,barang sesuai,Positif,2,13,Sangat Singkat (≤3 kata)
Xiaomi Pad 7 (8/256GB),5,topppp,topppp,Positif,1,6,Sangat Singkat (≤3 kata)
Xiaomi 17T (12GB+256GB),4,"Saya kasih bintang 4 karena pilihan kurirnya, untuk kedatangan sesuai tapi lambat sekali. Overall very good and thanks",saya kasih bintang 4 karena pilihan kurirnya untuk kedatangan sesuai tapi lambat sekali overall very good and thanks,Positif,18,118,Panjang (>15 kata)
POCO M7 Pro 5G (8/256G),5,barang masih segel dan aman,barang masih segel dan aman,Positif,5,27,Singkat (4–8 kata)
Xiaomi Power Bank 22.5W 10000mAh Lite,5,"barang sudah sampai di lokasi, sesuai di deskripsi barang ori dan segel. Terima kasih",barang sudah sampai di lokasi sesuai di deskripsi barang ori dan segel terima kasih,Positif,14,85,Sedang (9–15 kata)
Xiaomi 17T (12GB+256GB),4,"Pengiriman , diterima barang sangat cepat . Aman tersegel, hanya sedikit penyok kardus luar. 
Semoga chipset , batre , kamera akan aman untuk penggunaan min 3-5th ke depa...",pengiriman diterima barang sangat cepat aman tersegel hanya sedikit penyok kardus luar semoga chipset batre kamera akan aman untuk penggunaan min 3 5th ke depa,Positif,25,173,Panjang (>15 kata)
Xiaomi 17T (12GB+256GB),5,Sampai dengan selamat packing aman. Headphones bonusnya mantep banget ada noise cancellation dan jadi keinget kalau dulu beli HP pasti ada bonus headsetnya. Semoga ke dep...,sampai dengan selamat packing aman headphones bonusnya mantep banget ada noise cancellation dan jadi keinget kalau dulu beli hp pasti ada bonus headsetnya semoga ke dep,Positif,26,173,Panjang (>15 kata)
Xiaomi Wifi Range Extender N300,5,"Sesuai deskripsi dan sesuai Pic. packing ok mendarat dengan aman dan selamat, barang datang sesuai pesanan, untuk settingnya simpel, mudah tinggal ikuti petunjuk yang di...",sesuai deskripsi dan sesuai pic packing ok mendarat dengan aman dan selamat barang datang sesuai pesanan untuk settingnya simpel mudah tinggal ikuti petunjuk yang di,Positif,25,172,Panjang (>15 kata)
POCO X8 Pro Series,5,Mantapppp sweeekaleeee,mantapppp sweeekaleeee,Positif,2,22,Sangat Singkat (≤3 kata)
Xiaomi 67W HyperCharge Combo Tipe A,5,mantabbbbb...,mantabbbbb,Positif,1,13,Sangat Singkat (≤3 kata)
Xiaomi Redmi Buds 6,4,"packiging nya amburadul banget
selain itu barang berfungsi dengan baik",packiging nya amburadul banget selain itu barang berfungsi dengan baik,Positif,10,70,Sedang (9–15 kata)
